name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
"Colgate Vedshakti Mouth Protect Spray, 30ml (10ml* 3), Instant Germ Kill with breath freshener, Saunf Flavor contains Clov...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61SZfK1wIWS._AC_UL320_.jpg,3.8,"4,166",270.0,350.0,ml,3.103448275862069,4.022988505747127
"Jiwa Gluten Free Maida, 900g",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Pk-r2n79L._AC_UL320_.jpg,3.9,523,150.0,199.0,g,1.7241379310344827,2.2873563218390807
"Patanjali Aloevera Fibre Juice, 1L",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51fM1eKp62L._AC_UL320_.jpg,4.2,537,209.0,210.0,,2.4022988505747125,2.413793103448276
Orion Turtle Chips Party snack - Hot Lime 130g (Pack of 5)| Sweet & Salty|Korean Snack|100% veg| corn chips,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71bnR2eR1IL._AC_UL320_.jpg,5,5,430.0,500.0,g,4.942528735632184,5.747126436781609
"KWALITY Golden Corn Flakes - Crispy and Delicious Breakfast Cereal Made with 100% Natural Corn - 99% Fat Free, No Preserva...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ezkF4tX6L._AC_UL320_.jpg,4.2,180,319.0,395.0,,3.6666666666666665,4.540229885057471
CHAMRIA AJWAIN PACHAK 150GMS (2 PACKS),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81M-Z3mYsNL._AC_UL320_.jpg,4.1,538,210.0,230.0,,2.413793103448276,2.6436781609195403
"Davidoff Café Grande Cuvee Instant Coffee, Fine Aroma, 100 g, Glass Bottle",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61+NZYuQ43S._AC_UL320_.jpg,4.6,756,560.98,699.0,,6.448045977011494,8.03448275862069
"Marwar Papad Moong Dal Special (Handmade, Medium Spicy & Rajasthani Flavor) Special 400gm Zipper Pack of 1",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81YGiGRJNrL._AC_UL320_.jpg,4.2,"1,447",188.0,300.0,gm,2.160919540229885,3.4482758620689653
"TEACURRY Stinging Nettle Tea (1 Month Pack, 30 Tea Bags) - Helps with Kidney Detox, Blood Sugar, Blood Purify - Stinging N...",https://m.media-amazon.com/images/I/61GoxCsX87L._AC_UL320_.jpg,4.3,126,619.0,799.0,,7.114942528735632,9.183908045977011
Nescafe Gold Decaf Coffee 200g,https://m.media-amazon.com/images/I/81sgyl9KLtL._AC_UL320_.jpg,4.7,4,1150.0,1600.0,g,13.218390804597702,18.39080459770115
